"","URN","not_sustained_rate","urban_rural","denomination","FSM","White_British","region_name","school_name","headcount","susp_rate","KS2_history","Attainment_8","Progress_8","selective","POSTCODE","post16","school_sex","type","Ofsted_rating","sen_support","LSOA11","IMD"
"1",138116,13.2867132867133,"(England/Wales) Rural town and fringe","No religious character","34.5","91.8","Yorkshire and The Humber","Campsmount Academy",789,29.40431,102.2,"39.9",-0.23,0,"DN6 9AS",1,"Mixed","Academy converter","Good",13.3848133848134,"E01007493",7
"2",137899,4.41767068273092,"(England/Wales) Urban minor conurbation","No religious character","16","85.2","Yorkshire and The Humber","Hungerhill School",1170,10.68376,104.7,"51.1",0.41,0,"DN3 2JY",0,"Mixed","Academy converter","Outstanding",10.3242320819113,"E01007478",4
"3",146639,4.13223140495868,"(England/Wales) Urban minor conurbation","No religious character","48.2","86.5","Yorkshire and The Humber","The Laurel Academy",699,14.44921,102.1,"43.5",0.17,0,"S64 9SD",0,"Mixed","Academy sponsor led","Good",12.9078014184397,"E01007583",5
"4",137603,6.30252100840336,"(England/Wales) Urban minor conurbation","No religious character","19.3","90.5","Yorkshire and The Humber","Ridgewood School",1468,4.70027,105.2,"45.6",-0.26,0,"DN5 7UB",1,"Mixed","Academy converter","Good",11.3246396705559,"E01007588",5
"5",140865,3.05343511450382,"(England/Wales) Urban minor conurbation","Roman Catholic","24.8","57.9","Yorkshire and The Humber","The McAuley Catholic High School",1425,7.36842,104.2,"45.6",-0.08,0,"DN3 3QF",1,"Mixed","Academy converter","Good",11.8632240055827,"E01007603",9
"6",143938,12.0603015075377,"(England/Wales) Urban minor conurbation","No religious character","35.4","48.2","Yorkshire and The Humber","Outwood Academy Danum",1176,48.89456,101.9,"39.3",-0.17,0,"DN2 5QD",1,"Mixed","Academy sponsor led","Good",15.681233933162,"E01007566",1
"7",144364,7.18232044198895,"(England/Wales) Urban minor conurbation","No religious character","30.4","85.7","Yorkshire and The Humber","Sir Thomas Wharton Academy",1126,17.67318,105.3,"46.9",-0.08,0,"DN12 1HH",1,"Mixed","Academy converter","Good",13.2606721162579,"E01007545",3
"8",135942,13.3333333333333,"(England/Wales) Urban minor conurbation","No religious character","41.4","94.4","Yorkshire and The Humber","De Warenne Academy",748,28.34225,102.6,"46.2",0.31,0,"DN12 3JY",0,"Mixed","Academy sponsor led","Good",8.22281167108753,"E01007539",1
"9",135007,5.41871921182266,"(England/Wales) Urban city and town","Other Christian Faith","35","85.5","Yorkshire and The Humber","Trinity Academy",1263,7.12589,104.1,"41",-0.51,0,"DN8 5BY",1,"Mixed","Academy sponsor led","Good",12.5301204819277,"E01007637",4
"10",146370,18.7919463087248,"(England/Wales) Urban minor conurbation","No religious character","47.5","55.8","Yorkshire and The Humber","Astrea Academy Woodfields",729,104.38957,100.3,"32.6",-0.7,0,"DN4 8ND",1,"Mixed","Academy sponsor led","Good",20.5093833780161,"E01007500",1
"11",137842,7.43494423791822,"(England/Wales) Urban minor conurbation","No religious character","28.8","54.6","Yorkshire and The Humber","Hall Cross Academy",1998,0.3003,103.2,"49.9",0.55,0,"DN1 2HY",1,"Mixed","Academy converter","Good",7.33299849321949,"E01007648",1
"12",138314,7.54716981132075,"(England/Wales) Urban minor conurbation","No religious character","28.6","78.8","Yorkshire and The Humber","Armthorpe Academy",654,36.08563,104.2,"37.5",-1.01,0,"DN3 2DA",0,"Mixed","Academy converter","Requires improvement",15.6346749226006,"E01007480",3
"13",136672,3.92156862745098,"(England/Wales) Rural town and fringe","No religious character","12.8","92","Yorkshire and The Humber","The Hayfield School",1071,5.4155,103.7,"51.3",0.64,0,"DN9 3HG",0,"Mixed","Academy converter","Good",11.1215834118756,"E01007608",6
"14",143916,14.8936170212766,"(England/Wales) Urban minor conurbation","No religious character","24.8","84.5","Yorkshire and The Humber","XP East",295,10.50847,105.9,"44.3",-0.36,0,"DN4 5NG",1,"Mixed","Free schools","Requires improvement",21.9931271477663,"E01007644",5
"15",137472,10.5769230769231,"(England/Wales) Urban minor conurbation","No religious character","36.1","79","Yorkshire and The Humber","Don Valley Academy",1114,41.02334,103.5,"48.6",0.42,0,"DN5 9DD",0,"Mixed","Academy converter","Good",11.2829845313922,"E01007518",5
"16",137066,11.2068965517241,"(England/Wales) Urban city and town","No religious character","41.9","82.7","Yorkshire and The Humber","Ash Hill Academy",816,25.4902,102.2,"45",0.25,0,"DN7 6JH",0,"Mixed","Academy sponsor led","Good",14.3034825870647,"E01007555",1
"17",135963,7.7319587628866,"(England/Wales) Urban minor conurbation","No religious character","34.8","87.5","Yorkshire and The Humber","Outwood Academy Adwick",1090,42.75229,101.1,"38.5",-0.19,0,"DN6 7SF",1,"Mixed","Academy sponsor led","Good",18.3212996389892,"E01007464",2
"18",136675,8.19672131147541,"(England/Wales) Urban minor conurbation","Church of England","28.4","89.2","Yorkshire and The Humber","Rossington All Saints Academy",884,24.66063,105.1,"48.2",0.08,0,"DN11 0BZ",0,"Mixed","Academy sponsor led","Good",13.0830489192264,"E01007594",8
"19",140964,6.12244897959184,"(England/Wales) Urban minor conurbation","No religious character","26.5","82.4","Yorkshire and The Humber","XP School",250,6.8,104,"44.9",-0.12,0,"DN4 5NG",1,"Mixed","Free schools","Good",24.0816326530612,"E01007644",5
"20",138355,4.52261306532663,"(England/Wales) Urban major conurbation","No religious character","25.5","92.2","North West","Hilbre High School",1207,6.1309,101,"35.4",-0.43,0,"CH48 6EQ",1,"Mixed","Academy converter","Good",17.985012489592,"E01007260",8
"21",139031,7.11462450592885,"(England/Wales) Urban major conurbation","Roman Catholic","34.2","83.2","North West","St John Plessington Catholic College",1579,8.61305,102,"38.7",-0.36,0,"CH63 7LF",1,"Mixed","Academy converter","Good",17.0266836086404,"E01007112",4
"22",135877,6.54205607476635,"(England/Wales) Urban major conurbation","No religious character","15.6","84.6","North West","Birkenhead High School Academy",1207,0.8285,103.1,"47.7",0.43,0,"CH43 1TY",1,"Girls","Academy sponsor led","Good",14.2262895174709,"E01007160",4
"23",137130,5.84415584415584,"(England/Wales) Urban major conurbation","No religious character","40.3","83.4","North West","Prenton High School for Girls",779,10.78306,101.8,"41.2",0.02,0,"CH42 6RR",0,"Girls","Academy converter","Good",16.2612035851472,"E01007177",3
"24",105101,4.31654676258993,"(England/Wales) Urban major conurbation","No religious character","21.2","93.3","North West","Pensby High School",910,2.52747,101.9,"43.7",0.28,0,"CH61 6XN",1,"Mixed","Foundation school","Good",15.1884700665188,"E01007288",5
"25",105107,9.42028985507246,"(England/Wales) Urban major conurbation","No religious character","31.1","95","North West","South Wirral High School",1033,2.32333,101.9,"37.3",-0.38,0,"CH62 8EH",1,"Mixed","Foundation school","Good",25.7309941520468,"E01007168",2
"26",136780,4.28571428571429,"(England/Wales) Urban major conurbation","Roman Catholic","11.4","80.5","North West","St Anselm's College",990,0.20202,108.8,"55.6",0.03,1,"CH43 1UQ",1,"Boys","Academy converter","Good",3.64741641337386,"E01007156",4
"27",139144,2.65486725663717,"(England/Wales) Urban major conurbation","No religious character","8","78.9","North West","Calday Grange Grammar School",1512,0.66138,111.3,"64.7",0.31,1,"CH48 8GG",1,"Boys","Academy converter","Good",7.02451954937044,"E01007262",10
"28",137171,2.24719101123596,"(England/Wales) Urban major conurbation","No religious character","8.8","77.7","North West","Wirral Grammar School for Girls",1182,0.42301,111.8,"67.3",0.38,1,"CH63 3AF",1,"Girls","Academy converter","Outstanding",3.29113924050633,"E01007151",8
"29",138853,8.01393728222996,"(England/Wales) Urban major conurbation","Church of England","36.4","91.1","North West","Woodchurch High School",1419,5.77872,100.7,"38.6",-0.09,0,"CH49 7NG",0,"Mixed","Academy converter","Good",25.5813953488372,"E01007304",1
